Year;Yield;;;;
1937;28.9;;;;
1938;27.8;;;;
1939;29.9;;;;
1940;28.9;;;;
1941;31.2;;;;
1942;35.4;;;;
1943;32.6;;;;
1944;33;;;;
1945;33.1;;;;
1946;37.2;;;;
1947;28.6;;;;
1948;43;;;;
1949;38.2;;;;
1950;38.2;;;;
1951;36.9;;;;
1952;41.8;;;;
1953;40.7;;;;
1954;39.4;;;;
1955;42;;;;
1956;47.4;;;;
1957;48.3;;;;
1958;52.8;;;;
1959;53.1;;;;
1960;54.7;;;;
1961;62.4;;;;
1962;64.7;;;;
1963;67.9;;;;
1964;62.9;;;;
1965;74.1;;;;
1966;73.1;;;;
1967;80.1;;;;
1968;79.5;;;;
1969;85.9;;;;
1970;72.4;;;;
1971;88.1;;;;
1972;97;;;;
1973;91.3;;;;
1974;71.9;;;;
1975;86.4;;;;
1976;88;;;;
1977;90.8;;;;
1978;101;;;;
1979;109.5;;;;
1980;91;;;;
1981;108.9;;;;
1982;113.2;;;;
1983;81.1;;;;
1984;106.7;;;;
1985;118;;;;
1986;119.4;;;;
1987;119.8;;;;
1988;84.6;;;;
1989;116.3;;;;
1990;118.5;;;;
1991;108.6;;;;
1992;131.5;;;;
1993;100.7;;;;
1994;138.6;;;;
1995;113.5;;;;
1996;127.1;;;;
1997;126.7;;;;
1998;134.4;;;;
1999;133.8;;;;
2000;136.9;;;;
2001;138.2;;;;
2002;129.3;;;;
2003;142.2;;;;
2004;160.3;;;;
2005;147.9;;;;
2006;149.1;;;;
2007;150.7;;;;
2008;153.3;;;;
2009;164.4;;;;
2010;152.6;;;;
2011;146.8;;;;
2012;123.1;;;;
2013;158.1;;;;
2014;171;;;;
2015;168.4;;;;
2016;174.6;;;;
2017;176.6;;;;
2018;176.4;;;;
2019;167.5;;;;
2020;171.4;;;;
2021;176.7;;;;
2022;173.4;;;;
2023;177.3;;;;
2024;179.3;;;;
2025;186.5;;;;
