date,temp,prec
2026-01-01,12.0,T
2026-01-02,16.5,T
2026-01-03,22.5,0
2026-01-04,28.5,0
2026-01-05,32.5,0
2026-01-06,28.5,T
2026-01-07,36.0,0
2026-01-08,26.5,0
2026-01-09,25.5,0
2026-01-10,16.5,0
2026-01-11,26.0,0
2026-01-12,35.0,0
2026-01-13,40.0,0
2026-01-14,21.5,0
2026-01-15,32.0,0.02
2026-01-16,18.5,T
2026-01-17,2.0,0.01
2026-01-18,9.5,0.04
2026-01-19,-2.0,0
2026-01-20,4.5,0.01
2026-01-21,16.0,0.02
2026-01-22,-3.0,T
2026-01-23,-12.5,0
2026-01-24,-4.0,0
2026-01-25,-8.0,T
2026-01-26,3.5,0
2026-01-27,6.5,0
2026-01-28,7.5,T
2026-01-29,7.5,0
2026-01-30,-0.5,T
2026-01-31,7.5,0.09
2026-02-01,28.0,0
2026-02-02,16.0,0.03
2026-02-03,19.5,0.01
2026-02-04,28.5,0
2026-02-05,34.5,0
2026-02-06,32.5,T
2026-02-07,34.5,0
2026-02-08,33.0,0
2026-02-09,37.0,0
2026-02-10,33.5,0
2026-02-11,33.0,0
2026-02-12,37.5,0
2026-02-13,37.5,0
2026-02-14,37.5,0
2026-02-15,41.0,0
2026-02-16,39.0,0
2026-02-17,43.0,0.01
2026-02-18,27.0,0.41
2026-02-19,9.5,T
2026-02-20,6.5,T
2026-02-21,3.5,T
2026-02-22,2.5,0
2026-02-23,9.0,0
2026-02-24,26.0,0
2026-02-25,13.5,0
2026-02-26,30.0,0
2026-02-27,32.5,0
2026-02-28,15.0,0.19
2026-03-01,15.0,0
2026-03-02,25.0,0
2026-03-03,37.5,0
2026-03-04,42.5,0
2026-03-05,43.5,0
2026-03-06,31.5,T
2026-03-07,36.5,0
2026-03-08,50.5,0
2026-03-09,37.5,0.01
2026-03-10,23.5,0.01
2026-03-11,30.5,0
2026-03-12,35.5,0.01
2026-03-13,26.0,0
2026-03-14,28.5,0.2
2026-03-15,14.5,0.02
2026-03-16,6.0,0
2026-03-17,18.0,0.06
2026-03-18,39.0,0
2026-03-19,51.0,0
2026-03-20,52.0,0
2026-03-21,53.5,0
2026-03-22,29.5,0
2026-03-23,33.0,0
2026-03-24,42.0,0
2026-03-25,52.0,0
2026-03-26,32.5,0.04
2026-03-27,28.5,T
2026-03-28,47.0,0
2026-03-29,49.5,0
2026-03-30,45.5,0
2026-03-31,36.5,0
2026-04-01,32.0,0.22
2026-04-02,30.5,0.19
2026-04-03,30.0,0.5
2026-04-04,33.0,0.1
2026-04-05,37.0,0
2026-04-06,25.0,0
2026-04-07,31.0,0
2026-04-08,45.0,0
2026-04-09,25.5,0.22
2026-04-10,35.5,0
2026-04-11,50.5,0
2026-04-12,66.0,0.01
2026-04-13,45.0,0
2026-04-14,52.5,0
2026-04-15,55.5,0
2026-04-16,61.0,0
2026-04-17,36.0,0.01
2026-04-18,34.5,0
2026-04-19,35.0,T
2026-04-20,48.0,0
2026-04-21,59.0,0
2026-04-22,67.0,0
2026-04-23,55.5,0.42
2026-04-24,44.0,0.01
2026-04-25,41.5,0
2026-04-26,38.5,0.4
2026-04-27,41.0,0.07
2026-04-28,39.0,0
2026-04-29,41.9,0.4960
2026-04-30,43.16,0.0
2026-05-01,41.72,0.0
2026-05-02,54.68,0.0
2026-05-03,59.18,0.0
2026-05-04,51.26,0.0
2026-05-05,41.18,0.0
2026-05-06,40.1,0.0
2026-05-07,46.76,0.0
2026-05-08,55.4,0.0
2026-05-09,54.32,0.0
2026-05-10,50.0,0.0
2026-05-11,56.12,0.0
2026-05-12,65.66,0.0236
2026-05-13,58.82,0.0
2026-05-14,71.78,0.0
2026-05-15,68.18,0.0
