date,temp,prec
2026-01-01,23.0,0.00
2026-01-02,23.0,T
2026-01-03,29.0,T
2026-01-04,33.5,0.00
2026-01-05,40.0,T
2026-01-06,39.0,T
2026-01-07,44.0,0.00
2026-01-08,41.0,0.80
2026-01-09,38.5,0.04
2026-01-10,29.5,0.01
2026-01-11,26.0,T
2026-01-12,43.0,0.00
2026-01-13,44.5,0.00
2026-01-14,27.0,0.00
2026-01-15,21.5,T
2026-01-16,24.0,T
2026-01-17,7.5,0.02
2026-01-18,14.5,T
2026-01-19,6.5,T
2026-01-20,15.0,0.00
2026-01-21,27.5,T
2026-01-22,15.0,0.00
2026-01-23,-5.0,0.00
2026-01-24,-1.5,0.02
2026-01-25,6.0,0.00
2026-01-26,6.5,0.00
2026-01-27,14.0,0.00
2026-01-28,17.5,T
2026-01-29,15.5,0.00
2026-01-30,8.5,T
2026-01-31,13.0,0.00
2026-02-01,24.5,0.01
2026-02-02,27.5,0
2026-02-03,23.0,0
2026-02-04,24.0,0
2026-02-05,40.0,0
2026-02-06,37.5,0
2026-02-07,30.0,0
2026-02-08,33.5,0
2026-02-09,46.0,0
2026-02-10,39.5,0
2026-02-11,35.5,0
2026-02-12,42.5,0.02
2026-02-13,41.0,0
2026-02-14,46.5,0
2026-02-15,49.5,0
2026-02-16,56.5,0
2026-02-17,53.5,T
2026-02-18,50.0,0
2026-02-19,31.0,0.59
2026-02-20,17.5,0.09
2026-02-21,18.5,0
2026-02-22,14.5,0
2026-02-23,11.0,0
2026-02-24,30.0,0
2026-02-25,30.5,T
2026-02-26,39.0,T
2026-02-27,51.0,0
2026-02-28,29.0,0
2026-03-01,26.5,0
2026-03-02,36.5,0
2026-03-03,39.5,T
2026-03-04,45.5,0
2026-03-05,50.5,T
2026-03-06,56.0,1.69
2026-03-07,38.5,0.21
2026-03-08,52.5,0
2026-03-09,63.0,0
2026-03-10,51.0,0
2026-03-11,38.5,0.05
2026-03-12,40.5,0.04
2026-03-13,42.5,T
2026-03-14,43.0,0
2026-03-15,28.5,0.28
2026-03-16,13.5,0.01
2026-03-17,15.5,0.03
2026-03-18,44.0,0
2026-03-19,56.0,0
2026-03-20,64.5,0
2026-03-21,72.0,0
2026-03-22,53.0,0
2026-03-23,40.5,0
2026-03-24,49.0,0
2026-03-25,61.0,T
2026-03-26,56.5,0
2026-03-27,40.5,0
2026-03-28,41.5,0
2026-03-29,55.0,0
2026-03-30,68.0,T
2026-03-31,59.5,0
2026-04-01,45.0,0.04
2026-04-02,49.5,1.26
2026-04-03,45.5,0.87
2026-04-04,40.5,0
2026-04-05,46.0,0
2026-04-06,43.5,0
2026-04-07,39.0,T
2026-04-08,58.5,0
2026-04-09,49.5,1.48
2026-04-10,45.0,T
2026-04-11,52.0,T
2026-04-12,65.0,0.12
2026-04-13,71.5,0
2026-04-14,76.0,0.02
2026-04-15,68.5,1.27
2026-04-16,66.0,0
2026-04-17,62.5,0.07
2026-04-18,43.0,0
2026-04-19,45.5,0
2026-04-20,52.0,0
2026-04-21,71.0,0
2026-04-22,68.5,0
2026-04-23,65.5,0.87
2026-04-24,54.5,0
2026-04-25,59.0,0
2026-04-26,62.5,0.17
2026-04-27,60.0,0.59
2026-04-28,50.0,T
2026-04-29,50.18,0.0
2026-04-30,49.1,0.06
2026-05-01,48.2,0.0
2026-05-02,51.26,0.0
2026-05-03,63.32,0.0
2026-05-04,64.4,0.0
2026-05-05,53.6,0.0
2026-05-06,48.2,0.0
2026-05-07,51.08,0.0
2026-05-08,55.4,0.1259
2026-05-09,62.78,0.0
2026-05-10,54.32,0.1929
2026-05-11,54.68,0.0
2026-05-12,64.58,0.0
2026-05-13,62.24,0.0
2026-05-14,62.06,0.011811023622047244
2026-05-15,70.88,0.0
