date,temp,prec
2026-01-01,28.0,T
2026-01-02,25.0,0
2026-01-03,29.0,0
2026-01-04,30.5,0
2026-01-05,40.0,0
2026-01-06,44.5,T
2026-01-07,46.5,T
2026-01-08,49.5,T
2026-01-09,52.5,0.25
2026-01-10,36.0,0.01
2026-01-11,26.5,0.01
2026-01-12,33.0,0
2026-01-13,41.0,0
2026-01-14,33.5,T
2026-01-15,21.0,T
2026-01-16,28.0,0.01
2026-01-17,23.5,T
2026-01-18,16.5,0.02
2026-01-19,15.5,T
2026-01-20,15.0,0
2026-01-21,35.0,0
2026-01-22,26.0,0
2026-01-23,11.0,0
2026-01-24,6.0,0.16
2026-01-25,10.0,0.84
2026-01-26,5.5,T
2026-01-27,11.0,T
2026-01-28,6.5,0
2026-01-29,9.0,0
2026-01-30,10.5,0
2026-01-31,9.5,T
2026-02-01,10.5,0
2026-02-02,23.5,T
2026-02-03,28.0,T
2026-02-04,21.0,T
2026-02-05,19.0,T
2026-02-06,28.5,0.03
2026-02-07,20.5,T
2026-02-08,22.0,0
2026-02-09,31.5,0
2026-02-10,43.5,0
2026-02-11,34.5,0
2026-02-12,34.0,0
2026-02-13,38.5,0
2026-02-14,40.5,0.28
2026-02-15,47.5,0.36
2026-02-16,46.0,0
2026-02-17,47.0,0
2026-02-18,61.5,T
2026-02-19,58.0,1
2026-02-20,43.5,T
2026-02-21,29.5,0
2026-02-22,23.0,0.03
2026-02-23,23.0,T
2026-02-24,28.5,0
2026-02-25,43.0,0
2026-02-26,40.5,0.01
2026-02-27,49.0,0
2026-02-28,47.5,T
2026-03-01,34.5,0
2026-03-02,33.0,0.21
2026-03-03,40.5,2.59
2026-03-04,49.5,1.29
2026-03-05,58.5,0.59
2026-03-06,68.5,T
2026-03-07,55.0,0.35
2026-03-08,49.0,0
2026-03-09,57.5,0
2026-03-10,68.5,0.01
2026-03-11,53.5,0.6
2026-03-12,39.5,0
2026-03-13,50.5,0
2026-03-14,42.5,0
2026-03-15,58.0,0.57
2026-03-16,32.0,0.01
2026-03-17,20.0,T
2026-03-18,37.0,T
2026-03-19,55.5,0
2026-03-20,65.0,0
2026-03-21,61.5,0
2026-03-22,63.0,0.38
2026-03-23,39.0,0
2026-03-24,42.0,0
2026-03-25,56.0,0
2026-03-26,68.0,0.16
2026-03-27,42.5,0.87
2026-03-28,39.0,0
2026-03-29,51.5,0
2026-03-30,65.5,0
2026-03-31,72.0,0.03
2026-04-01,57.5,0.05
2026-04-02,60.5,0.05
2026-04-03,73.0,0.01
2026-04-04,59.0,0.32
2026-04-05,46.0,0
2026-04-06,49.0,0
2026-04-07,41.0,0
2026-04-08,52.0,0
2026-04-09,65.5,0
2026-04-10,59.5,T
2026-04-11,53.0,0
2026-04-12,66.0,T
2026-04-13,73.0,T
2026-04-14,76.0,T
2026-04-15,72.5,0.03
2026-04-16,69.5,T
2026-04-17,69.5,T
2026-04-18,58.5,0.18
2026-04-19,47.0,T
2026-04-20,46.0,0
2026-04-21,60.0,0.02
2026-04-22,69.5,0
2026-04-23,70.0,0
2026-04-24,67.0,0.73
2026-04-25,63.5,0
2026-04-26,59.5,0
2026-04-27,61.5,1.61
2026-04-28,62.0,T
2026-04-29,56.84,0.04724
2026-04-30,50.36,0.0
2026-05-01,50.18,0.0315
2026-05-02,46.58,0.0
2026-05-03,51.44,0.0
2026-05-04,62.6,0.0157
2026-05-05,56.48,0.5236
2026-05-06,50.36,0.2126
2026-05-07,49.28,0.21259842519685043
2026-05-08,56.66,0.0874
2026-05-09,61.52,0.909
2026-05-10,59.18,0.4606
2026-05-11,49.46,0.0
2026-05-12,51.44,0.0118
2026-05-13,61.34,0.05905511811023623
2026-05-14,55.04,0.0
2026-05-15,63.5,0.0
