date,temp,prec
2026-01-01,42.5,0
2026-01-02,37.5,0
2026-01-03,28.5,0.02
2026-01-04,44.0,0
2026-01-05,49.0,0
2026-01-06,47.5,0
2026-01-07,44.5,0
2026-01-08,45.5,0
2026-01-09,31.0,0.05
2026-01-10,28.5,0
2026-01-11,35.5,T
2026-01-12,35.0,0
2026-01-13,43.5,0
2026-01-14,48.0,T
2026-01-15,31.5,T
2026-01-16,41.5,0.03
2026-01-17,21.0,T
2026-01-18,14.5,T
2026-01-19,27.0,T
2026-01-20,18.0,0
2026-01-21,26.5,0
2026-01-22,29.0,0
2026-01-23,18.5,T
2026-01-24,-1.5,0.04
2026-01-25,0.5,0
2026-01-26,5.0,0
2026-01-27,18.0,0
2026-01-28,22.5,0
2026-01-29,33.0,0
2026-01-30,23.5,T
2026-01-31,7.0,0.02
2026-02-01,12.0,0.02
2026-02-02,38.0,0
2026-02-03,33.0,0
2026-02-04,33.5,T
2026-02-05,37.5,0
2026-02-06,53.0,0
2026-02-07,38.5,0
2026-02-08,42.0,0
2026-02-09,51.5,0
2026-02-10,53.5,0
2026-02-11,34.0,0
2026-02-12,33.5,0
2026-02-13,43.0,0
2026-02-14,49.5,T
2026-02-15,45.5,T
2026-02-16,47.0,0
2026-02-17,50.5,0
2026-02-18,56.5,0
2026-02-19,39.0,0
2026-02-20,11.5,0.11
2026-02-21,12.0,0
2026-02-22,23.0,T
2026-02-23,20.0,0
2026-02-24,24.5,0
2026-02-25,44.5,0
2026-02-26,45.5,0.09
2026-02-27,45.5,0
2026-02-28,47.5,0
2026-03-01,36.0,0
2026-03-02,28.5,T
2026-03-03,34.5,T
2026-03-04,41.0,0
2026-03-05,43.0,0
2026-03-06,45.0,0.1
2026-03-07,40.5,T
2026-03-08,43.0,0
2026-03-09,54.5,0
2026-03-10,57.5,0
2026-03-11,43.0,0.04
2026-03-12,38.5,T
2026-03-13,54.0,0
2026-03-14,42.5,0
2026-03-15,49.0,0
2026-03-16,18.5,T
2026-03-17,19.5,0
2026-03-18,38.0,T
2026-03-19,60.5,0
2026-03-20,64.0,0
2026-03-21,66.0,0
2026-03-22,68.5,0
2026-03-23,43.0,0
2026-03-24,41.5,0
2026-03-25,52.5,0
2026-03-26,72.5,0
2026-03-27,47.0,0
2026-03-28,40.0,0
2026-03-29,50.0,0
2026-03-30,63.5,0
2026-03-31,63.5,0
2026-04-01,46.5,0
2026-04-02,41.0,0.93
2026-04-03,47.0,0.02
2026-04-04,42.0,T
2026-04-05,42.5,0
2026-04-06,49.0,0
2026-04-07,44.5,0
2026-04-08,50.5,0
2026-04-09,52.5,0
2026-04-10,51.0,0
2026-04-11,45.5,0.07
2026-04-12,65.0,0
2026-04-13,70.5,0
2026-04-14,69.0,0
2026-04-15,64.0,T
2026-04-16,61.0,0.07
2026-04-17,64.0,0
2026-04-18,40.0,0
2026-04-19,41.5,T
2026-04-20,54.0,0
2026-04-21,61.5,0
2026-04-22,70.0,0
2026-04-23,68.0,0
2026-04-24,58.5,0
2026-04-25,54.5,0
2026-04-26,44.0,0.36
2026-04-27,44.5,0.45
2026-04-28,48.0,0.21
2026-04-29,46.58,0.0
2026-04-30,49.64,0.0
2026-05-01,47.66,0.0
2026-05-02,52.52,0.0
2026-05-03,62.6,0.0
2026-05-04,62.64,0.0
2026-05-05,48.74,0.07086
2026-05-06,48.56,0.0
2026-05-07,75.2,0.0
2026-05-08,61.34,0.0
2026-05-09,63.5,1.5
2026-05-10,58.46,0.0
2026-05-11,66.56,0.0
2026-05-12,71.96,0.0
2026-05-13,70.16,0.01968503937007874
2026-05-14,72.86,0.0
2026-05-15,80.42,0.011811023622047244
