Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;2.23;1.21;3.32;3.19;2.92;2.59;4.83;2.4;0.85;0.2;0.65;0.96;25.35
1938;0.71;0.74;M;3.92;2.13;3.17;1.73;0.64;2.09;0.11;0.65;0.42;M
1939;1.38;0.67;0.1;0.86;2.19;8.88;2.41;2.53;1.93;1.24;0.02;0.25;22.46
1940;0.01;0.81;1.97;4.76;0.59;1.04;1.22;2.9;0.26;1.62;0.27;0.69;16.14
1941;0.73;0.05;0.49;3.95;1.26;6.17;0.84;1.4;4.51;1.67;0.11;0.1;21.28
1942;0.02;0.14;3.31;2.83;2.8;5.44;1.77;6.62;2.59;0.98;0.45;0.58;27.53
1943;1.25;0.35;0.93;0.52;2.04;7.07;3.58;2.97;0.93;1.5;0.72;T;21.86
1944;1.04;0.33;0.88;1.85;2.76;4.55;5.51;4.58;1.61;3.24;1.73;0.11;28.19
1945;0.54;0.97;1.59;2.27;1.85;4.12;1.85;1.88;2.75;0.25;0.1;0.48;18.65
1946;0.08;1.13;1.56;2.01;1.32;3.97;3.72;1;3.28;3.27;0.94;0.1;22.38
1947;0.39;0.12;0.27;2.79;0.91;5.73;4.09;0.06;1;2.03;2.07;0.06;19.52
1948;0.18;0.63;0.39;0.66;0.28;4.88;3.37;2.55;0.95;1.3;0.21;0.06;15.46
1949;0.55;0.16;0.99;0.36;6.36;0.93;4.08;1.25;2;2.71;0.08;0.82;20.29
1950;0.96;0.21;1.01;0.61;5.3;0.97;4.22;2.12;1.29;0.66;0.15;0.59;18.09
1951;0.34;1.03;0.89;0.97;2.45;3.94;2.63;2.2;0.33;2.17;0.17;1.59;18.71
1952;1.65;2.06;1.15;0.33;1.49;3.1;2.02;0.69;0.1;T;1.22;0.29;14.1
1953;0.95;1.07;1.07;5.13;2.89;8.41;1.26;4.21;0.4;0.58;0.96;0.76;27.69
1954;0.29;0.3;1.11;2.12;1.55;2.38;0.81;2.37;2.67;0.98;0.4;0.33;15.31
1955;0.3;1.39;0.16;1.19;2.81;2.98;3.69;2.32;1;0.01;0.3;0.87;17.02
1956;1.22;0.58;0.94;0.74;2.01;3.06;2.95;2.87;0.82;1.52;1.3;0.4;18.41
1957;0.23;0.52;0.32;3.91;4.95;4.05;2.5;1.29;1.6;2.26;0.52;0.53;22.68
1958;0.23;1.29;0.52;2.04;1.46;2.54;1.61;0.93;0.08;0.27;1.17;0.29;12.43
1959;0.22;0.85;0.15;0.42;3.4;0.5;1.74;1.48;3.15;1.54;0.88;0.73;15.06
1960;1.01;0.52;0.79;1.27;2.18;1.59;0.97;4.21;0.69;0.56;0.49;0.68;14.96
1961;0.01;0.39;0.15;1.12;3.61;1.62;2.08;1.15;2.09;2.24;0.02;0.59;15.07
1962;0.5;1.41;0.87;1.08;4.74;5.74;3.14;0.75;2.44;1.06;0.46;0.18;22.37
1963;0.46;0.3;0.33;1.15;3.92;2.1;3.93;2.55;1.64;0.5;0.3;0.23;17.41
1964;0.36;0.31;0.89;3.19;2.68;2.69;3.47;4.04;0.56;T;0.24;0.39;18.82
1965;0.15;0.09;0.71;2.93;3.01;2.11;2.22;1.26;3.25;0.37;0.65;0.38;17.13
1966;0.16;0.52;2.34;0.92;0.91;4.53;4.66;2.77;1.25;1.86;0.59;0.03;20.54
1967;0.5;0.42;0.09;3.38;0.58;5.13;1.06;1.4;3.41;0.65;0.15;0.47;17.24
1968;0.15;0.1;2.74;4.81;1.66;3.24;2.2;1.07;2.82;0.6;0.83;0.94;21.16
1969;1.11;1.54;0.36;0.92;3.38;3.37;4.07;0.74;0.38;0.57;0.14;0.71;17.29
1970;0.21;0.17;1.33;3.42;1.49;2.11;2.04;0.33;1.67;1.24;1.39;0.19;15.59
1971;0.35;0.41;0.04;1.86;1.7;4.29;3.75;1.39;2.3;2.8;1.39;0.47;20.75
1972;0.39;0.39;1.02;1.05;4.86;1.8;7.71;0.52;0.25;1.26;0.26;0.88;20.39
1973;0.21;0.15;1.29;1.02;1;1.37;1.77;1.17;3.51;1.28;0.66;0.44;13.87
1974;0.05;0.26;0.74;2.1;3.77;0.37;1.72;0.94;0.15;0.54;0.12;0.05;10.81
1975;0.82;0.29;2.71;2.6;2.26;5.28;0.3;1.5;1.73;1.23;0.29;0.3;19.31
1976;0.81;0.52;0.7;1.27;0.52;1.41;0.5;0.66;0.86;0.32;0.01;0.3;7.88
1977;0.34;0.91;3.45;0.9;2.82;1.99;2.16;2.48;4.36;1.24;2.36;0.83;23.84
1978;0.15;0.23;0.46;2.25;4.23;7.3;2.17;4.04;0.6;0.08;0.77;0.11;22.39
1979;1.01;0.73;1.6;2.93;1.93;4.99;2.56;1.24;0.05;1.18;0.02;0.14;18.38
1980;0.51;0.44;0.88;1.15;1.64;2.53;0.8;5.93;0.92;1.44;T;0.14;16.38
1981;0.12;0.2;2;0.12;1.6;2.1;3.97;2.91;1.38;1.74;0.82;0.26;17.22
1982;M;0.18;M;0.54;2.8;2.14;1.66;0.44;0.95;5.14;0.59;0.09;M
1983;0.16;0.26;2.65;0.69;1.66;3.47;6.46;2.21;1.55;0.81;0.6;0.55;21.07
1984;0.47;0.7;1.94;2.39;1.13;5.65;2.64;2.23;0.84;2.93;0.06;0.61;21.59
1985;0.23;0.08;1.82;0.63;3.41;1.76;2.38;2.71;2.71;0.87;1.6;0.57;18.77
1986;0.43;0.71;0.58;7.88;3.32;2.48;3.78;2.85;2.82;0.19;0.77;T;25.81
1987;0.09;1.12;1.91;0.41;2.01;0.77;2.13;1.87;1.33;0.2;0.79;0.09;12.72
1988;0.35;0.31;0.37;0.13;3.43;0.93;3.14;2.8;5.31;0.11;0.73;1.37;18.98
1989;0.52;0.37;1.46;3.42;1.2;2.05;2;3.83;2.23;0.58;0.74;0.15;18.55
1990;0.13;0.39;0.81;1.87;1.41;7.72;1.98;4.85;3.01;0.44;0.11;0.37;23.09
1991;0.11;0.7;0.77;3.7;7.36;4.76;1.32;2.28;0.57;1.06;0.32;0.13;23.08
1992;0.66;0.47;0.54;0.4;0.78;5.61;2.97;1.55;1.63;0.83;1.19;0.2;16.83
1993;0.61;0.49;0.42;1.51;3.11;6.2;7.37;4.42;1.21;0.35;1.88;0.56;28.13
1994;0.8;0.42;0.43;2.28;0.3;1.1;5.37;3.87;1.63;3.36;0.77;0.38;20.71
1995;0.62;0.5;2.34;2.26;5.98;1.34;3.57;2.36;1.5;3.16;0.2;0.47;24.3
1996;1.32;0.78;0.87;0.15;4.46;4.12;1.91;0.24;5.32;3.55;1.4;0.87;24.99
