Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;1.85;0.8;1.99;3.29;7.13;3.95;0.58;2.72;1.41;1.38;0.65;0.68;26.43
1938;0.83;0.46;2.24;4.21;5.21;2.33;2.49;3.08;2.55;1.33;2.14;0.74;27.61
1939;1.1;2.33;1.8;1.26;1.79;7.45;4.11;5.58;1.18;1.02;0.51;0.43;28.56
1940;0.61;1.89;1.59;3.19;2.09;2.03;3.9;9.63;0.53;1.65;2.08;1.28;30.47
1941;2.51;0.38;0.84;1.56;2.32;6.5;1.33;2.36;8.63;7.29;1.34;2.9;37.96
1942;1.56;1.38;2.07;1.05;6.6;7.36;6.5;2.2;2.72;2.35;2.15;1.14;37.08
1943;0.51;0.66;1.96;2.98;4.17;7.1;5.58;6.42;2.02;0.49;0.5;0.62;33.01
1944;1.31;0.66;2.48;5.07;6.76;6.24;1.64;4.42;2.46;0.58;1.22;1.7;34.54
1945;0.76;1.6;5.13;5;6.32;3.75;1.75;1.56;6.51;0.15;1.21;2.87;M
1946;2.31;0.15;4.63;0.96;M;M;1.68;M;3.05;4.04;1.02;0.22;M
1947;2.62;0.29;2.08;6.11;5.28;M;0.42;0.93;0.72;6.86;1.67;1.47;M
1948;0.18;2.39;3.49;1.91;1.98;3.36;6.98;1.37;1.27;1.43;3.61;1.9;29.87
1949;3.12;1.07;2.38;1.07;1.23;4.53;3.13;1.76;2.21;1.59;0.57;0.72;23.38
1950;1.4;2.23;0.81;3.12;5.6;4.82;2.93;2.05;0.41;0.77;0.38;0.27;24.79
1951;0.59;2.99;3.86;5.2;5.56;3.86;4.46;4.74;1.39;2.64;1.81;0.93;38.03
1952;1.03;0.77;4.03;1.52;4.15;5.74;2.57;5.7;0.53;0.03;4.6;1.15;31.82
1953;0.76;2;2.37;3.22;2.22;4.03;1.71;0.71;0.66;0.13;1.22;0.97;20
1954;0.07;1.35;1.86;3.48;5.9;5.3;1.01;10.47;1.98;3.95;0.06;0.78;36.21
1955;1.35;1.52;0.89;2.63;2.93;1.71;3.69;1.77;4.42;0.52;0.11;0.44;21.98
1956;0.51;0.46;0.51;1.24;1.71;1.29;2.76;3.47;1.21;1.66;1.79;0.46;17.07
1957;0.79;0.13;1.74;2.84;5.36;3.67;2.47;2.93;1.79;3.29;1.94;1.33;28.28
1958;0.71;0.61;0.61;1.31;3.59;3.34;10.51;1.78;4.06;0.07;2;0.25;28.84
1959;0.79;1.07;3.94;3.51;6.63;5.71;1.63;2.44;3.13;2.64;2.91;1.91;36.31
1960;4.38;1.58;1.46;2.4;7.53;3.46;1.99;6.78;2.54;2.11;0.52;0.45;35.2
1961;0.33;2.68;5.37;2.39;1.58;2.92;7.05;2.77;10.19;3;2.78;1.82;42.88
1962;0.54;1.6;1.42;2.51;6.02;3.96;2.94;1.6;1.93;3.22;0.8;0.5;27.04
1963;0.83;0.72;2.39;4.18;3.94;1.13;4.01;4.83;1.88;2.56;1.36;0.54;28.37
1964;0.51;0.28;1.25;3.29;2.9;6.49;3.37;3.94;4.28;0.29;0.95;0.87;28.42
1965;1.62;1.14;3.02;4.18;3.89;4.8;1.93;1.93;7.23;0.79;1.79;1.64;33.96
