Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;14.7;21.4;34.1;49;63.3;70.8;77.7;78.7;67.5;52.3;35.1;24.5;49.1
1938;22.6;31.8;45.7;51.6;61.1;71.2;78.9;77.6;68.9;61.6;39.2;28.5;53.2
1939;30.8;21.5;37.6;49.5;68.4;72.8;78.5;71.7;69.6;54.4;41.2;33.4;52.5
1940;9;24.6;33.1;48.1;58.3;72.4;77.9;71.2;67;59.4;34.4;29.4;48.7
1941;24.3;23.1;34.9;54.9;66.8;70.6;75.9;76;66.1;55.2;41.2;32.8;51.8
1942;22.1;23.6;38.7;55.3;59.9;70.5;75.1;72.8;62;54.3;39.5;21.5;49.6
1943;18.2;28.4;31.1;49;57.9;71.6;76.1;74.5;60.6;52.7;34.8;26.3;48.4
1944;31;27.6;30.7;45.3;65.1;72.1;74;72.6;65.2;55.1;40.7;20.3;50
1945;20;26.4;46.4;49.3;55.6;64.3;73.1;74;63.7;52.7;37.8;18.5;48.5
1946;23.3;30.4;47.9;55.2;57.1;71;75.2;70;64.9;57.3;39.4;31;51.9
1947;26.6;18.2;32.2;48.4;55.5;68;74.5;82.2;68.4;62.4;33.7;28.6;49.9
1948;19.4;23.6;32.5;55.5;60.8;70.1;76.5;75.7;69.6;52.4;40.4;27;50.3
1949;18.4;20.1;35.5;50.6;64.6;73.9;77.2;73.7;60;56.7;42.5;28.4;50.1
1950;19.6;23;32.2;43.8;61;69;70.8;68.4;65.2;59.9;33.9;20;47.2
1951;20.4;25.5;28.5;45.7;63.2;66.4;73.5;72.3;60.8;52.6;32.2;20.5;46.8
1952;21.4;32.3;33.2;50.5;60.4;75.6;75.5;71.1;66.1;48.7;38.9;27.2;50.1
1953;24.1;29.6;38.1;44.8;60.3;74.2;76.3;75;66.1;58.9;42.6;29.2;51.6
1954;19.6;37.7;33.2;53.8;56.7;74.5;79.4;73.4;67.8;52.4;42.5;29.4;51.7
1955;21.5;22.1;35.7;57.5;64.7;68.6;81;78.1;68.1;54;31.1;21.5;50.3
1956;19.9;25.6;35.1;47.6;63.4;76;74.5;74.5;65;60.6;37.9;28.9;50.8
1957;15.8;30.8;36.8;49.9;59.9;70.4;79.6;74.4;62;50.2;35.5;31.9;49.8
1958;24.8;16.8;34.7;50.2;63.9;67;71.1;74.4;65.2;55.9;41.7;23;49.1
1959;16.3;23.7;36.4;49.3;62.8;72.8;74.1;77.8;64.3;49.6;30.3;33.8;49.3
1960;21.1;19.4;21.4;51.9;61;68.9;74.4;74.9;66.6;54.1;40.9;25.9;48.4
1961;22;30.1;37.5;44.7;58.7;70.6;74.1;73.2;62.4;54.9;36.7;18.5;48.6
1962;12.9;20.5;29.8;49.3;69.2;71.3;74.3;74.2;63.3;57.1;40.5;24;48.9
1963;8.5;18.8;39.4;51.7;59.7;73.9;75.9;71.4;65.9;64.5;43.1;15.1;49
1964;27.7;26.3;30.3;48;64.3;69.9;77.2;70.3;63.6;50.8;41.2;23.3;49.4
1965;17.6;20.2;22.7;48.1;66.1;70.3;74.8;72.8;61;55.3;41;35.2;48.8
1966;14.2;24.7;41;46;57.7;70.3;78.6;70.8;62.4;52.9;38.4;24.8;48.5
1967;23.7;22.2;40.3;51;57.1;69;72.1;70.3;62.3;51.5;36.4;28.9;48.7
