Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;8.05;1.68;1.47;4.27;1.58;3.69;5.37;3.46;3.28;5.59;1.94;3.77;44.15
1938;1;2.52;7.93;3.24;5.14;6.49;7.15;2.53;1.74;1.06;3.03;1.46;43.29
1939;5.33;2.97;3.03;5.74;0.88;5.67;7.2;2.91;1.17;2.93;1.15;1.13;40.11
1940;1.38;2.38;0.9;6.05;4.3;1.88;0.9;2.91;1.06;1.15;3.33;2.58;28.82
1941;1.68;0.66;1.12;1.91;1.12;7.03;1.21;1.4;1.94;7.19;2.22;1.58;29.06
1942;1.2;3.78;4.35;2.82;5.57;7.65;2.91;2.98;3.46;1.11;4.6;1.7;42.13
1943;0.65;1.01;3.3;1.74;10.1;3.29;3.02;2.42;3.26;1.37;1.94;1.05;33.15
1944;0.21;2.82;4.2;7.9;3.33;2.32;1.99;1.98;2.31;0.61;2.19;1.11;30.97
1945;0.57;2.59;7.76;5.11;4.15;8.12;4.06;2.8;5.61;2.04;3.19;2.49;48.49
1946;1.44;2.51;3.62;1.07;7.13;2.37;1.58;2.52;1;1.54;3.27;3.03;31.08
1947;4.06;0.37;1.95;5.82;3.91;5.67;2.33;5.22;3.45;2.44;1.44;1.61;38.27
1948;2.52;1.82;6.32;3.44;3.26;4.24;3.12;1.04;3.03;2.12;4.93;3.36;39.2
1949;7.41;2.38;3.16;1.62;2.75;4.18;2.95;6.64;2.52;4.25;0.89;4.32;43.07
1950;12.69;5.32;3.88;3.44;2.68;6.55;2.15;4.08;4.96;0.98;5.52;3;55.25
1951;2.95;3.76;3.16;3.26;2.78;5.77;3.12;2.43;2.39;3.28;5.21;4.68;42.79
1952;3.69;2.71;5.77;3.99;3.9;6.17;2.45;2.46;4.62;0.64;3.87;3.01;43.28
1953;2.57;1.93;5.41;3.18;4.5;4.86;6.19;1.76;1.44;1.7;2.29;2.42;38.25
