Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;33.2;30.4;37;50.7;62.9;71.4;75.2;77;65.4;53;39.4;29.5;52.1
1938;29.4;37.7;47.5;54.1;62.5;70.3;77;77;68.9;59.4;45.7;34.3;55.3
1939;35.9;33.2;43.9;49.6;66.9;74.8;76.2;74.6;72.4;58.7;42.7;36.1;55.4
1940;16.7;32.2;38.1;49.1;59.5;73.9;77.7;77;66.8;60.5;41.7;37.7;52.6
1941;31.2;28.1;36.4;59;66.9;73.9;78.1;76.3;71.8;60.4;45.7;38.5;55.5
1942;29.3;28.6;44;57.9;64.4;73.7;78.2;74.1;66.3;57.2;45.7;28.3;54
1943;28.2;31.7;35.8;47.7;61.1;74.9;75.9;74.5;61.9;53.5;37.9;28.5;51
1944;32.6;33;36.8;49.7;67.5;74;75.8;74.1;66;54.1;43;25.3;52.7
1945;22.8;31.9;51.1;52.6;56.4;68.1;72.4;72.1;67.5;52.1;42.2;23.9;51.1
1946;29;33;51.9;53;59.2;70.5;74.7;69;66.3;59;45.2;35.5;53.9
1947;33.7;22.5;32.9;50.6;58.3;68.1;70.6;79;66.4;62.4;37.9;31.7;51.2
1948;21;31.2;41.1;54;60.7;71.3;74.5;73.6;67.4;51.2;44.7;34.3;52.1
1949;34;35;41;50.2;63.1;73.4;78.3;73.8;60.6;59.1;42.3;35.8;53.9
1950;37.3;31.6;36.7;45.9;63.6;68.6;72.2;70.2;64.6;59.2;36.4;23.4;50.8
1951;29.1;30.6;37.8;48.3;63.8;69.9;74.1;72;62.6;57;35.6;30.6;51
1952;33.1;35.3;39.8;52;61.1;76.6;76.7;72.9;66;49.8;42.9;34.8;53.4
1953;32.8;35.6;42.1;47.6;64.6;75.9;75.9;74.3;67.2;58.3;43.6;32.8;54.2
1954;30.8;40;37.6;57.4;57.9;75.5;77.8;73.5;69.6;55.9;42;32.2;54.2
1955;27.4;32.2;40.6;57.1;63.6;67.1;79.4;75.9;68.9;54.7;37.5;28.6;52.8
1956;27.2;33.5;40.2;48.9;62.5;72.1;72.9;73;63.8;60.7;41.1;38.7;52.9
1957;23.5;36.5;40.8;53.3;62.1;72.1;75.4;73.3;64.6;51.3;40.7;36.2;52.5
1958;28;23.7;35.9;52.1;61.3;66.8;73.5;71.9;65.4;54.9;43.6;24.2;50.1
1959;24.9;31.6;38.8;51.7;65.7;73;75.2;77.3;68.4;53.8;35.5;35.9;52.7
1960;31.8;28.1;26.2;54.8;58.8;68.4;71.6;74.1;69.8;54.7;42.3;24.5;50.4
1961;23.6;34;43.6;45.6;56.4;67.9;73.4;71.4;70.9;56.2;42;29;51.2
1962;23.7;30.6;37.7;51.1;69.1;73.2;73.3;72.4;62.6;56.7;42.3;25.4;51.5
1963;19.5;21.1;42.4;53.3;59.7;71.3;73.3;68.9;65.4;62;45;18.5;50
1964;30.7;29;40.5;54.7;65.6;73.3;74.6;72.5;67.2;51.7;45.3;32.2;53.1
1965;27.5;29.5;33.7;54.4;68.3;71.7;72.9;71.1;67.5;53.7;44.7;38.6;52.8
1966;22.4;30.4;43.3;51.3;58.4;72.3;79.2;73.1;65.2;51.9;43.8;32.7;52
1967;32.6;27.7;43.9;53.6;59.3;73.9;73.8;71.1;65.9;55.2;39.4;33.7;52.5
1968;25.1;26.4;42.8;53.7;58.6;72.3;75.3;74.4;65.8;54.4;42.9;30.6;51.9
1969;25.7;31.6;35.6;54;63.4;69.8;75.8;72.6;65.1;53.8;37.5;28.1;51.1
1970;17.9;28.6;38;55.1;65.6;71.4;75.2;74.2;69.1;55.1;40.9;34.7;52.2
1971;23.4;28.8;37.3;51;58.9;75.6;72.2;71.2;69.4;62;43.1;38.4;52.6
1972;26.5;28.4;39.8;52.1;65;68.8;74.6;73.1;68.3;51.5;39.9;31.9;51.7
1973;30.7;31.4;49.4;51.3;59.5;73.2;76;74.4;69.8;59.4;46.4;30.8;54.4
1974;31.6;32.4;45.2;55;62;68.6;75.9;71.8;60.6;52.5;42.4;32.9;52.6
1975;32;32;36.8;48.8;65.5;71.5;73.5;76.1;62.6;55.9;46.4;32.8;52.8
1976;23.9;38.8;46.6;53.4;58.8;71.3;73.9;71.2;63.5;48.7;34.6;24.5;50.8
1977;10.2;28.1;46.5;57.1;70.6;71.2;77.9;74;69.6;54.2;45.9;29.2;52.9
1978;18.2;17.8;36.7;55.2;63.5;74;77.1;74.9;70.3;52.6;45.7;34.3;51.7
1979;17.9;18.8;43.3;49.8;61.1;71.1;72.9;72.3;64.9;53.1;41.3;34.8;50.1
1980;28.5;22.5;36;49.1;64;69.1;78.5;76.6;67.9;50.9;40.3;31.8;51.3
1981;23.4;33;39.9;57.3;59.9;73.2;75.4;72.8;64.6;53.1;44.2;27.7;52
1982;20.1;26.4;42.5;48.6;68.6;67.8;76.2;71.7;64.4;55.7;44.2;40.2;52.2
1983;30.5;35.5;42.9;48.2;58.2;71.8;79.7;80.1;69.4;57.4;44.1;20.1;53.2
1984;22.7;37.3;32.9;50;58.7;75.3;72.4;74.2;64.2;61.3;43;38.8;52.6
1985;20.4;26;44.6;57.1;64.9;70.6;74.3;71.2;66.2;57.6;46.6;22.4;51.8
1986;28.5;31.3;43.9;53.7;63.4;72.8;77.5;70.1;69.8;55.5;39.7;32.3;53.2
1987;27.6;35.4;44.5;52.5;68.1;73.6;75.7;73.6;68.1;48.5;46.3;35.8;54.1
