Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;1.29;0.07;1.58;0.73;3.21;6.29;2.70;1.07;1.59;1.53;0.08;0.05;20.19
1938;0.31;M;1.03;2.72;5.39;3.23;2.75;1.58;M;0.44;0.02;M;M
1939;0.72;0.83;1.20;1.81;3.18;5.55;0.91;2.14;0.16;0.15;M;M;M
1940;0.73;0.59;1.04;1.83;0.65;1.41;1.37;0.80;0.40;M;0.70;0.56;M
1941;0.72;0.40;0.41;4.41;2.23;6.30;2.09;0.92;3.03;0.59;0.29;0.66;22.05
1942;0.07;0.61;2.47;2.67;3.19;10.17;3.26;2.51;6.06;0.06;0.43;0.70;32.20
1943;0.23;0.24;0.61;3.95;1.25;3.87;5.37;1.53;0.56;0.29;0.16;0.03;18.09
1944;1.26;0.52;1.48;7.59;4.08;2.61;2.20;1.64;0.83;1.62;1.73;0.13;25.69
1945;0.56;0.31;0.49;2.80;3.40;5.74;1.72;2.54;3.99;0.68;0.02;0.71;22.96
1946;0.24;T;2.39;0.22;3.27;3.56;2.01;1.92;7.92;6.30;2.41;0.16;30.40
1947;0.66;0.22;0.83;2.63;1.63;8.00;3.24;0.84;2.15;0.75;1.95;0.87;23.77
1948;0.42;1.04;0.74;0.94;2.85;5.28;3.70;M;2.06;0.40;1.54;0.92;M
1949;1.02;0.29;3.62;2.40;5.60;7.20;1.49;0.90;3.01;1.49;0.13;0.28;27.43
1950;0.50;M;1.29;1.62;5.68;0.89;7.27;3.91;1.03;0.97;0.57;0.23;M
1951;0.48;0.61;1.02;3.49;4.71;5.57;2.39;2.80;2.87;1.77;0.20;0.39;26.30
1952;0.17;1.42;1.36;4.32;6.56;2.33;4.49;1.88;0.76;0.07;0.94;1.01;25.31
1953;0.21;0.70;1.00;2.59;4.67;2.66;3.41;1.21;1.53;1.46;2.38;1.36;23.18
1954;0.21;0.47;0.60;1.09;6.02;1.77;0.94;4.14;1.35;2.43;T;0.26;19.28
1955;1.08;1.04;0.71;0.71;5.18;4.03;1.25;1.08;4.88;0.91;0.12;0.64;21.63
1956;0.61;0.44;0.41;1.66;0.94;3.69;3.40;3.23;0.97;1.21;0.29;0.30;17.15
1957;0.20;0.18;2.15;3.86;5.94;5.36;3.03;4.07;3.41;2.72;0.50;0.53;31.95
1958;0.35;1.71;2.23;3.57;3.29;1.60;6.22;2.73;0.08;T;0.51;0.12;22.41
1959;0.52;0.60;3.52;2.27;3.45;2.15;2.94;3.57;2.65;1.93;T;0.04;23.64
1960;1.91;2.04;1.45;3.49;4.59;7.39;2.08;1.25;1.98;1.49;0.33;0.27;28.27
1961;T;0.27;2.15;1.65;7.52;3.41;2.19;4.80;2.37;0.70;0.80;0.98;26.84
1962;0.10;1.29;1.97;0.62;3.63;5.18;9.76;3.35;1.13;1.43;0.03;0.88;29.37
1963;0.72;0.14;1.77;1.58;1.67;1.90;0.99;1.90;3.74;0.67;0.17;0.23;15.48
1964;0.07;1.54;1.81;1.98;0.09;3.42;4.22;4.38;1.55;0.19;0.06;0.03;19.34
1965;1.24;0.99;0.93;1.12;8.92;4.49;5.65;1.42;7.77;1.93;0.09;0.49;35.04
1966;0.33;0.99;0.67;1.18;0.30;3.94;4.71;2.59;1.59;1.04;0.07;0.84;18.25
1967;0.43;0.10;0.03;0.95;5.77;15.14;3.04;1.79;2.32;1.04;0.21;0.49;31.31
1968;0.18;0.43;0.40;2.77;2.36;4.59;2.09;4.07;1.32;3.83;0.51;1.89;24.44
1969;0.88;1.64;0.36;1.02;3.22;4.87;2.52;4.93;3.22;5.22;0.22;0.86;28.96
1970;0.05;0.28;0.87;1.89;3.89;1.87;0.84;1.69;5.07;1.21;0.66;0.04;18.36
1971;0.91;2.20;1.78;1.66;3.74;3.24;3.25;0.96;1.05;2.81;2.25;0.38;24.23
1972;0.20;0.26;0.59;1.61;5.59;1.67;1.39;5.76;1.69;0.83;2.36;1.74;23.69
1973;0.68;0.31;4.96;2.56;3.67;1.37;6.60;1.04;8.10;1.36;2.40;1.58;34.63
1974;0.44;0.10;0.50;2.39;1.92;2.83;1.77;0.87;0.30;1.51;0.35;1.18;14.16
1975;0.22;0.57;1.09;2.70;1.65;9.28;3.26;1.38;1.72;0.44;3.09;0.51;25.91
1976;0.60;0.27;1.42;3.88;3.20;1.59;3.91;0.47;4.20;0.61;0.19;T;20.34
1977;0.50;0.19;4.97;6.15;7.66;4.31;1.73;5.23;1.29;2.30;0.69;0.50;35.52
1978;0.20;1.03;0.45;7.44;4.52;0.57;2.57;2.46;1.51;0.80;1.39;1.10;24.04
1979;0.56;0.05;3.16;3.07;4.14;4.86;5.87;2.23;0.76;1.71;1.28;0.19;M
1980;0.54;0.94;3.41;1.52;2.07;2.24;1.61;2.93;1.54;1.07;T;M;M
1981;T;0.29;1.40;2.15;3.62;1.27;5.42;3.30;1.43;0.52;1.82;1.22;22.44
1982;M;0.52;M;1.76;6.13;2.86;3.09;2.95;1.66;3.58;1.26;1.30;M
1983;0.58;0.44;3.26;0.85;4.58;6.05;0.55;1.89;1.32;0.31;2.09;0.42;22.34
1984;0.31;0.35;1.74;7.58;4.81;4.50;1.43;0.67;0.06;4.75;0.32;1.18;M
1985;0.54;0.17;1.03;3.06;4.17;3.20;1.55;4.26;6.30;1.85;0.44;M;M
1986;0.00;0.49;2.00;1.49;2.77;1.46;3.11;2.29;4.42;3.10;0.17;0.66;21.96
1987;0.01;1.20;6.63;1.26;5.22;3.62;2.86;2.31;1.25;0.70;2.30;1.15;28.51
1988;1.33;0.23;M;1.65;1.97;2.47;2.74;3.53;3.20;0.01;0.42;M;M
1989;0.58;0.40;0.42;0.05;2.81;8.88;6.36;4.08;3.47;0.71;M;0.29;M
1990;0.33;0.36;3.25;0.27;5.41;2.34;1.82;5.35;0.87;1.47;1.10;0.32;22.89
1991;0.63;0.05;0.87;2.06;5.61;1.21;1.35;1.80;0.89;1.10;1.90;1.21;18.68
1992;1.32;0.59;3.48;0.36;0.87;4.14;4.13;3.70;0.30;2.49;0.78;0.70;22.86
1993;1.33;1.37;1.68;2.01;3.87;6.52;9.94;3.40;1.80;1.88;0.68;0.12;34.60
1994;0.69;0.90;0.02;1.93;2.03;5.45;5.22;2.54;0.64;2.17;1.78;0.69;24.06
1995;0.39;0.23;2.85;2.00;8.04;2.58;2.34;3.00;1.51;0.59;0.40;0.07;24.00
1996;1.64;T;0.53;0.98;8.20;5.33;5.18;3.50;3.37;0.04;2.44;0.05;31.26
1997;0.20;1.12;0.34;1.45;3.27;1.99;0.13;5.56;3.83;3.84;0.61;0.45;22.79
1998;0.16;0.57;3.76;3.55;3.90;3.92;7.66;1.78;0.22;1.43;2.26;0.08;29.29
1999;0.34;0.14;0.54;4.20;5.35;8.23;2.78;6.67;0.87;0.02;0.08;0.15;29.37
2000;0.53;1.79;2.19;1.12;2.68;3.63;3.34;0.93;1.21;2.23;1.59;0.32;21.56
2001;1.02;1.03;0.86;3.55;4.18;0.84;4.62;3.16;4.36;1.15;1.50;0.24;26.51
2002;0.21;0.38;0.57;1.23;3.39;1.19;0.43;1.66;0.80;2.36;0.11;0.03;12.36
2003;0.29;0.70;0.35;4.02;4.58;3.28;0.33;0.57;2.20;1.73;0.56;0.10;18.71
2004;0.55;0.60;2.68;1.54;3.07;2.32;4.82;0.67;4.75;1.26;2.59;0.02;24.87
2005;0.55;0.63;2.05;1.03;3.61;6.21;0.84;3.74;0.23;2.47;1.10;0.32;22.78
2006;0.29;0.04;2.77;1.36;1.46;5.24;2.68;8.18;4.56;1.62;0.62;2.85;31.67
2007;0.42;0.37;2.75;5.44;4.82;1.69;4.20;3.74;2.10;3.54;0.01;1.27;30.35
2008;0.04;0.14;0.85;3.41;8.74;7.23;3.68;0.80;1.38;9.36;0.50;0.35;36.48
2009;0.07;0.30;0.02;2.39;2.66;4.96;1.04;2.79;2.07;4.53;0.13;M;M
2010;0.03;0.67;1.84;3.22;3.36;5.28;4.61;3.47;1.02;0.34;0.93;0.14;24.91
2011;0.86;0.12;0.90;3.45;7.53;4.51;4.07;3.72;0.65;4.92;0.33;0.39;31.45
2012;0.03;1.04;1.02;4.35;2.00;1.62;0.58;1.45;0.54;0.58;T;0.61;13.82
2013;0.14;0.74;0.62;4.37;6.54;1.44;1.98;2.19;3.77;3.73;0.72;0.10;26.34
2014;0.28;0.36;0.11;3.35;0.71;8.53;0.17;7.60;2.40;0.99;0.06;0.69;25.25
2015;0.05;0.49;0.07;3.14;2.85;7.08;2.36;2.47;2.27;0.97;3.25;1.05;26.05
2016;0.40;0.98;0.56;8.39;2.30;0.61;3.38;1.47;1.20;0.12;1.56;0.90;21.87
2017;0.90;0.30;1.63;1.87;6.03;1.93;3.66;3.65;2.19;2.83;0.34;0.21;25.54
2018;0.96;0.73;1.05;2.03;5.56;2.87;6.07;2.05;1.85;3.50;0.85;3.49;31.01
2019;0.23;1.06;4.78;1.80;7.97;5.50;7.25;3.71;1.20;1.80;1.74;2.00;39.04
2020;0.82;0.27;2.13;0.77;6.66;1.67;1.81;0.35;1.14;0.17;0.60;0.91;17.30
2021;0.89;0.69;7.55;2.11;4.78;0.88;3.32;2.18;2.06;1.10;0.42;0.22;26.20
2022;0.12;T;0.59;1.88;3.07;3.97;3.86;0.13;1.87;1.26;0.14;0.73;17.62
2023;1.81;1.16;1.07;0.20;2.90;6.48;2.44;3.17;4.73;1.58;0.49;0.92;26.95
2024;0.79;0.80;1.74;4.34;4.78;1.96;4.81;2.78;0.07;0.34;2.96;0.13;25.50
2025;0.17;0.61;0.91;0.46;2.98;7.84;3.53;3.84;3.46;0.97;0.13;0.07;24.97
