Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;M;24.8;36.6;M;63.5;69.4;78.9;M;65.9;51.8;37.2;M;53.5
1938;M;30.9;43.7;52.8;59.3;72.0;78.5;78.9;68.9;61.8;36.1;31.3;55.8
1939;33.9;24.2;38.9;50.6;67.4;70.4;80.1;74.2;M;54.3;42.4;M;53.6
1940;11.7;27.0;M;M;61.2;72.4;80.9;74.6;70.1;59.6;35.5;31.3;52.4
1941;27.7;M;35.6;53.3;65.4;70.7;77.1;76.8;69.1;56.8;41.1;32.5;55.1
1942;26.2;26.2;38.4;52.6;58.6;69.7;78.8;74.3;60.9;52.9;37.7;27.0;50.3
1943;20.9;34.2;32.6;53.2;56.9;70.4;78.1;79.2;62.7;52.0;37.9;28.8;50.6
1944;29.8;29.2;29.0;42.2;64.1;71.0;75.9;75.5;64.2;54.3;37.3;25.1;49.8
1945;28.8;30.5;42.6;45.6;56.1;62.7;74.7;75.0;63.2;53.8;38.9;19.9;49.3
1946;28.6;34.2;47.3;57.9;56.7;73.5;76.9;73.5;63.9;51.1;35.0;33.6;52.7
1947;27.9;22.9;33.8;46.5;58.0;67.2;73.4;79.8;67.3;60.2;33.6;28.7;49.9
1948;M;M;31.7;56.6;62.2;70.1;75.8;M;69.8;52.6;37.1;26.7;53.6
1949;11.8;21.1;35.0;50.4;62.2;70.3;77.5;75.0;62.2;53.5;46.2;28.8;49.5
1950;19.0;M;33.0;44.4;57.3;70.4;71.4;70.5;63.4;57.5;35.6;28.4;50.1
1951;24.8;30.5;31.2;45.2;60.9;64.0;72.6;74.3;59.8;51.7;34.3;23.1;47.7
1952;26.0;33.5;31.0;48.5;60.1;78.3;76.0;75.1;68.3;52.3;36.8;26.0;51.0
1953;30.2;32.6;41.6;45.4;58.2;75.2;76.9;76.2;67.7;57.9;38.5;27.5;52.3
1954;21.7;40.7;34.0;52.6;56.3;73.1;82.7;75.6;70.5;51.2;43.7;32.5;52.9
1955;22.0;18.9;34.5;55.9;64.5;66.7;81.4;79.5;67.9;54.1;31.3;21.4;49.8
1956;22.7;24.4;37.0;44.2;62.6;76.7;75.5;75.5;66.9;58.0;37.1;31.7;51.0
1957;16.6;33.0;36.0;46.6;58.1;68.7;79.0;75.7;61.6;52.0;36.7;35.3;49.9
1958;26.3;23.6;25.8;46.8;62.3;68.0;72.3;75.6;67.3;55.5;39.3;26.4;49.1
1959;20.1;22.7;37.5;48.1;60.6;73.5;73.4;78.4;63.7;47.9;32.5;34.1;49.4
1960;18.8;19.4;24.2;51.8;59.0;68.1;74.6;74.7;68.0;54.6;39.3;27.4;48.3
1961;26.0;32.7;38.6;45.1;56.8;71.0;76.0;74.8;60.6;52.5;34.7;19.8;49.1
1962;20.1;27.4;28.9;50.4;67.0;68.9;73.7;73.8;62.0;54.7;39.6;28.5;49.6
1963;11.1;30.8;41.2;53.5;62.2;76.0;80.0;76.9;67.8;62.5;41.2;21.4;52.1
1964;29.0;25.1;32.8;49.9;65.0;70.0;79.3;71.2;64.0;53.5;38.4;24.1;50.2
1965;24.5;20.9;24.1;51.0;63.5;69.8;74.7;73.2;55.4;55.2;41.6;32.8;48.9
1966;17.7;24.2;41.8;45.6;61.3;70.9;79.5;70.9;64.9;52.4;37.7;25.3;49.3
1967;23.5;29.8;41.5;51.3;55.0;66.3;72.8;70.9;62.2;52.1;37.7;27.6;49.2
1968;23.7;27.1;42.4;49.1;55.4;72.2;74.6;72.8;63.4;53.3;36.6;21.3;49.3
1969;16.9;25.3;28.5;52.0;61.5;64.7;76.1;74.2;65.6;45.7;39.7;27.0;48.1
1970;19.2;31.8;32.1;48.4;64.2;70.6;77.2;76.8;62.3;47.4;34.5;29.4;49.5
1971;20.5;24.5;35.1;50.0;57.0;74.5;72.4;74.5;62.4;54.4;39.6;29.1;49.5
1972;20.7;28.0;42.3;49.4;60.3;71.5;73.8;71.9;63.6;48.6;32.5;18.9;48.5
1973;23.3;28.8;40.8;46.3;57.4;71.2;74.5;75.8;61.3;54.6;36.8;23.5;49.5
1974;19.8;32.6;39.9;50.9;62.3;68.3;79.1;67.7;59.7;54.6;39.1;26.2;50.0
1975;26.0;22.7;31.9;45.7;61.7;68.2;75.8;74.7;60.8;54.5;34.9;28.0;48.7
1976;23.9;37.4;36.6;52.3;57.0;69.5;74.7;73.3;62.9;46.2;32.3;27.7;49.5
1977;16.9;34.0;40.8;54.2;65.2;72.9;77.0;70.1;65.6;51.8;38.2;25.6;51.0
1978;11.4;15.8;33.3;51.1;59.5;70.1;75.2;71.7;68.0;51.3;35.0;20.9;46.9
1979;9.2;16.3;36.8;48.9;56.5;69.4;73.3;72.9;67.7;52.7;31.4;33.6;47.4
1980;22.8;24.3;32.7;50.8;60.8;73.2;79.6;75.2;65.6;51.2;40.8;M;52.5
1981;31.2;31.1;43.0;58.5;57.4;M;76.6;72.0;64.4;50.6;40.6;26.8;50.2
1982;16.4;22.3;M;M;59.7;M;75.4;71.2;63.5;M;M;M;51.4
1983;M;M;M;M;M;M;77.3;80.5;66.5;52.9;M;8.1;57.1
1984;25.0;34.2;34.1;45.4;M;72.4;76.4;76.9;M;M;39.4;M;50.5
1985;M;24.0;M;54.9;M;M;M;M;M;51.2;M;M;43.4
1986;M;M;M;M;61.7;M;77.5;M;M;M;M;31.6;56.9
1987;32.0;M;M;M;M;M;78.4;M;62.3;47.1;41.0;29.8;48.4
1988;17.9;26.5;38.3;48.0;63.5;76.3;74.8;74.8;64.4;48.9;39.0;32.5;50.4
1989;29.6;16.9;35.0;51.8;59.5;66.3;75.0;71.3;62.0;52.0;38.5;20.9;48.2
1990;31.7;29.3;40.2;47.8;58.9;72.5;73.3;73.1;67.7;51.4;40.3;21.7;50.7
1991;19.4;36.7;39.9;51.6;62.1;74.9;75.5;73.4;65.4;50.7;31.3;32.0;51.1
1992;33.1;37.0;43.0;49.2;60.6;65.9;69.2;67.7;63.6;52.2;33.1;22.9;49.8
1993;17.0;18.4;36.0;45.9;58.8;67.0;72.3;72.2;58.5;50.5;33.9;31.0;46.8
1994;21.9;18.3;M;48.7;64.4;72.5;71.1;71.9;65.5;53.3;38.7;30.7;50.6
1995;24.6;34.4;37.0;44.2;52.7;67.3;74.7;76.3;61.4;50.6;36.5;27.0;48.9
1996;18.3;29.5;30.2;47.5;56.6;70.4;72.0;69.8;60.7;51.6;30.8;23.1;46.7
1997;22.2;28.5;39.4;43.2;55.0;69.8;75.2;71.3;64.5;51.3;35.5;30.0;48.8
1998;25.8;34.7;30.3;47.2;62.7;66.6;75.4;73.3;69.5;53.4;41.0;29.9;50.8
1999;25.6;36.8;37.4;48.0;59.4;67.2;76.8;70.9;61.4;51.9;44.6;32.3;51.0
2000;28.4;33.4;41.6;48.6;62.2;68.4;74.9;76.8;65.4;53.5;27.8;17.5;49.9
2001;26.7;21.8;34.0;52.3;61.4;69.6;78.0;73.5;63.5;51.1;45.1;31.3;50.7
2002;30.3;30.3;30.9;49.7;56.7;75.8;78.2;73.8;64.7;45.8;38.6;32.1;50.6
2003;26.1;25.5;37.8;51.2;57.8;67.7;76.6;75.9;61.5;54.9;35.6;31.2;50.2
2004;21.8;23.3;42.9;50.4;61.6;67.0;71.6;69.0;67.7;53.0;39.6;30.1;49.8
2005;22.2;33.6;38.8;49.5;59.4;71.3;76.2;73.4;68.8;54.0;41.2;25.6;51.2
2006;37.6;29.4;36.3;53.8;62.1;72.2;76.1;72.0;59.5;47.8;36.9;29.9;51.1
2007;20.5;22.3;44.8;45.9;62.9;69.9;76.6;76.6;65.6;54.6;40.6;21.8;50.2
2008;20.9;26.7;37.8;44.4;56.8;69.7;75.6;71.3;63.8;50.8;39.3;21.9;48.2
2009;26.3;31.3;36.5;48.0;60.2;68.2;71.3;70.9;62.3;43.4;42.6;19.1;48.3
2010;21.7;24.3;40.1;53.2;57.4;70.8;75.2;75.6;64.8;54.9;37.4;25.0;50.0
2011;19.1;25.9;37.0;49.0;58.2;70.3;78.6;74.0;60.4;53.3;38.1;28.2;49.3
2012;30.9;29.0;51.0;54.3;64.5;73.3;80.0;72.6;64.4;48.3;39.8;27.1;52.9
2013;24.5;29.1;34.5;44.2;59.7;70.6;73.8;74.6;69.4;51.3;36.4;24.0;49.3
2014;25.1;21.6;34.4;48.8;59.8;70.9;71.8;73.2;62.8;53.4;33.4;28.0;48.6
2015;27.6;25.1;41.8;50.8;58.1;69.9;74.5;71.2;70.5;55.0;41.9;32.0;51.5
2016;27.5;34.9;43.4;51.4;58.1;74.6;74.9;73.0;66.2;55.8;46.0;26.3;52.7
2017;28.2;37.1;41.6;50.7;58.0;73.1;76.5;69.1;66.6;53.0;39.6;27.1;51.7
2018;21.6;21.7;39.0;41.2;64.3;74.7;73.8;71.1;66.7;47.3;33.9;27.9;48.6
2019;25.9;17.0;32.0;50.3;54.9;68.3;74.9;72.2;69.6;46.3;36.5;31.3;48.3
2020;26.7;30.6;42.0;47.0;58.2;76.5;77.2;75.4;63.9;48.7;44.5;31.0;51.8
2021;29.9;14.7;43.9;48.3;60.4;74.4;75.0;75.0;68.4;54.2;42.8;35.2;51.9
2022;25.7;27.6;39.5;49.0;60.6;72.9;76.7;74.6;68.0;53.8;36.6;24.3;50.8
2023;26.7;27.3;34.6;49.5;63.1;71.5;74.2;74.9;68.6;53.2;41.8;34.1;51.6
2024;20.3;39.2;40.5;50.7;61.6;73.8;73.7;73.7;69.2;57.2;41.8;33.0;52.9
2025;23.4;22.3;45.1;51.1;60.4;72.6;75.8;73.8;67.0;57.4;42.4;34.0;52.1
