Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;1.08;0.52;0.76;2.22;3.13;5.34;0.89;3.92;2.75;1.84;0.96;0.28;23.69
1938;0.66;1;2.05;3.59;6.42;5.91;9.66;2.66;7.95;0.56;2.58;0.65;43.69
1939;1.02;0.73;0.61;1.93;2.35;3.9;1.53;6.04;1.06;1.56;0.09;1.1;21.92
1940;0.41;0.99;1.6;1.83;2.65;2.85;4.56;4.29;0.99;2.93;3.59;2.18;28.87
1941;1.67;0.28;2.54;1.34;4.42;5.84;1.9;0.31;6.32;3.83;0.78;0.57;29.8
1942;0.13;0.22;3.02;1.78;6.06;6.26;5.46;7.18;7.5;1.68;1.02;1.37;M
1943;1.1;0.21;1.86;0.69;2.3;5.1;2.85;4.19;2.3;1.48;1.42;T;23.5
1944;0.68;1.01;1.04;3.52;4.22;4.16;2.71;2.39;1.03;0.24;1.07;0.45;22.52
1945;0.65;1.74;2.53;4.54;7.28;3.69;6.08;1.86;2.18;0.5;1.17;1.94;34.16
1946;1.39;0.75;1.62;0.46;3.44;4.47;0.41;3.98;6.47;3.13;1.2;0.77;28.09
1947;1.14;0.6;1.42;2.83;4.19;4.9;2.86;6.59;3.39;2.67;1.75;1.63;33.97
1948;0.2;2;0.59;2.55;1.23;6.33;0.51;4.94;1.85;1;2.38;2.17;25.75
1949;1.86;0.19;2.71;1.11;2.35;5.23;6.96;0.65;2.59;1.4;0.82;0.73;26.6
1950;1.55;1.33;1.86;2.2;1.52;1.63;6.33;1.41;1.71;0.83;0.78;1.81;22.96
1951;0.85;2.03;4.01;3.98;3.17;5.5;8.14;4.56;2.82;2.73;1.8;0.8;40.39
1952;1.63;0.61;2.07;2.09;2.46;6.71;5.15;4.94;0.62;0.01;2.24;0.46;28.99
1953;1.23;0.94;1.67;3.5;2.82;4.33;6.95;1.8;0.33;0.2;1.95;1.26;26.98
1954;0.49;0.31;1.88;4.68;3.93;6.26;1.36;3.77;3.48;2.76;0.9;0.56;30.38
1955;0.4;1.14;0.95;2.81;2.12;2.78;3.72;1.9;1.33;1.42;0.52;1.23;20.32
1956;0.57;0.52;3.42;1.79;5.13;4.46;1.88;6;0.83;2.26;1.36;0.32;28.54
1957;0.18;0.47;0.77;0.86;4.73;4.16;5.81;4.65;1.44;1.74;2.69;0.5;28
1958;0.15;0.06;0.21;2.35;2.5;5.56;1.21;2.53;3.07;1.42;0.93;0.22;20.21
1959;0.47;1.58;1.16;1.98;5.8;5.86;2.11;6.95;4.26;2.15;1.08;1.34;34.74
1960;0.49;0.31;0.74;2.11;6.53;4.23;1.74;2.97;3.23;1.12;0.74;0.92;25.13
1961;0.07;0.94;2.7;1.77;5.32;3.91;4.99;2.51;3.96;2.19;1.23;0.7;30.29
1962;0.17;1.35;1.33;2.83;3.84;2.61;4.83;5.48;1.88;1.95;0.18;0.28;26.73
1963;0.82;0.39;1.76;2.63;1.17;3.37;3.95;3.22;2.65;1.48;2.08;0.39;23.91
1964;0.37;0.04;0.94;2.61;1.91;1.08;1.18;2.07;5.99;0.52;2.36;0.84;19.91
1965;0.45;1.34;2.85;3.92;4.14;1.53;4.67;3.4;6.26;0.27;1.31;1.41;31.55
1966;0.68;1.06;3.32;1.08;1.54;3.26;3.03;3.47;1.36;3.86;0.4;0.96;24.02
1967;2.53;0.76;1.52;3.36;1.36;8.34;1.05;3.52;1.24;2.34;0.06;0.22;26.3
1968;0.77;0.14;0.51;4.16;4.37;6.07;5.07;2.06;3.93;2.94;0.52;1.86;32.4
1969;1.25;0.14;0.99;1.35;3.04;5.66;5.38;3.36;1.59;3.18;0.7;1.66;28.3
1970;0.38;0.47;1.57;2.29;6.7;3.86;4.3;1.17;4.09;6.08;2.04;0.82;33.77
1971;1.12;2.21;0.97;1.58;3.65;4.95;3.15;1.99;3.93;3.37;2.18;0.98;30.08
1972;0.71;0.29;0.72;1.66;1.76;1.11;5.99;2.11;7.06;3.03;1.55;1.45;27.44
1973;1.05;0.88;2.85;4.26;5.26;3.24;4.85;5.71;5.84;2.6;3.37;0.99;40.9
1974;0.36;0.73;2.42;2.59;4.53;7.04;1.26;2.37;1.01;2.54;0.86;0.56;26.27
1975;1.91;0.76;1.78;3.66;2.34;3.86;1.02;5.97;0.38;0.68;4.61;1.21;28.18
