Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;3.4;9.4;23.9;41.7;55;63;72;74.3;60.4;43.2;28;15.6;40.8
1938;13.9;20.3;35.9;43.8;54.9;64.9;71.1;70.7;60.3;52.5;31.4;19.8;45
1939;19.8;11;28;41.6;62.1;68.6;72.6;68.8;64;47.8;35.4;27.2;45.6
1940;5;18.1;23.9;43.7;55.8;68.5;73;67.2;M;51.7;28.7;21.9;41.6
1941;17.6;14.6;27.5;51.6;62.3;67.8;72.4;70.8;62.4;50;35.8;26.6;46.6
1942;18.5;18.3;34.1;50.7;54.5;65.6;70.1;69.2;56.7;47.9;32.9;14.3;44.4
1943;8.3;17.4;24;43.6;54.8;69.9;73.7;70.5;56.4;47;27.9;22.2;43
1944;24.5;20.2;26;41.4;61.3;68.9;69.5;70.2;60.8;49.4;37.8;17.6;45.6
1945;11.8;16.5;39;43.5;51;60.8;68.8;69.1;58.5;47.3;31.5;12.5;42.5
1946;15.9;18.8;42.5;49.5;54.3;66.4;72.2;66.1;58.5;51.4;33.1;21.6;45.9
1947;19.8;14.4;28.3;41.6;52;63.7;70.5;77;62.3;57.8;27.1;17.2;44.3
1948;9.1;16.1;27.2;49.6;56.5;66.2;73.3;71.8;65.3;48.7;36;19.3;44.9
1949;14.9;14.9;30;45.8;60.8;71.6;75.2;72.1;57.2;52.5;36.1;20.9;46
1950;10.3;14.3;23.5;37.6;56.5;66.4;69;65.6;60.7;53.9;27.3;10.8;41.3
1951;7.3;16.6;21.2;40.6;60.7;63.2;70.5;67.2;56.8;48.6;24.8;16;41.1
1952;13.5;24.1;25.9;46.9;55.1;68.9;71.2;67.8;61;42;34.4;22.5;44.4
1953;17.2;19.4;30.7;39.4;57;69.3;70.1;70.4;59.9;54.3;37.4;22.4;45.6
1954;11.9;31.8;28;47.2;51.7;70;72.5;67.8;59.9;46.7;36.8;22.4;45.6
1955;14.6;15.2;27.6;51.7;60.8;65;77.2;74.5;61.4;49.5;26.3;12.8;44.7
1956;12.4;13.1;24.5;40.4;57;71.9;68.3;69.4;57.4;55.5;32;23.1;43.8
1957;10;22.3;30;45.6;54.8;65.7;75;68.7;58.7;47.5;33.6;24.9;44.7
1958;20.8;14.2;30.8;45.6;57.2;60.2;66.8;67.8;60.1;52.2;35;14.1;43.7
1959;9.3;12.9;28.9;46.2;60.2;68.1;70.6;73;60.6;43.9;24.7;29.5;44
1960;19;18.8;18.9;46;56.7;63;69.7;70.7;61.8;49.3;35.3;17.2;43.9
1961;15.1;25.6;30.4;37.9;54.1;66.5;69.5;70.2;58.9;50.6;31.7;15.1;43.8
1962;9;13.3;23.9;41.5;61.2;65.9;67.4;68.1;56.6;50.9;36.2;19.3;42.8
1963;4;13.1;32.4;46.2;55.1;69.5;70.7;66.7;61;58.1;38.7;9.6;43.8
1964;21.3;24.7;25.5;45.1;60.2;67.2;73.8;65.8;57.6;46.5;33.8;15.4;44.7
1965;9.7;11.6;18.1;41.9;58.4;65.4;69;66.3;54.9;50;33.7;28.5;42.3
1966;3.2;15.1;33.9;40.9;51.8;67.2;71.9;66.2;59;47.9;31.8;19.4;42.4
1967;15.5;10.5;31.2;44.4;51.2;66.1;66.9;64.1;58.4;46;29.8;21.8;42.2
1968;14.6;14.9;36.7;47.9;51.6;65.1;67.7;67.1;58.2;49.4;33.8;17.2;43.7
1969;9.8;18.6;21.2;47.2;57.6;59.5;69.8;69.1;60;45.3;33.6;18.6;42.5
1970;4.3;15.1;26.3;45.7;58.1;67.9;70.8;68.5;59.9;49.5;32.6;18;43.1
1971;5.8;16.4;26.2;45.8;54.4;71.4;67;67.7;62;53.5;34.2;20;43.7
1972;6.5;12.4;27.9;41.3;60.1;65.6;67.7;68.2;57.9;43.2;31.3;10.9;41.1
1973;15.8;20.1;39.2;42.3;53.4;68.2;71;70.5;59.3;53.9;34.6;14.8;45.3
1974;12.8;15.8;29.4;46.7;53.8;64.3;74.5;66.1;54.7;49.3;33.4;22.3;43.6
1975;14.6;15.4;21;39.6;60.7;67.5;73.2;70.8;56.2;52.4;37.4;22.5;44.3
1976;12.7;28.2;31.8;49.5;55.7;68.2;73.7;69.8;58.5;42;24.9;9.5;43.7
1977;-1.8;21.7;38.7;53;64.5;66.7;73;65;60.9;47.2;32;14.3;44.6
1978;3.5;8.3;28.3;44.7;57.8;66.4;69.1;68.8;63.7;46.1;29.1;12.5;41.5
1979;-1.5;5.7;26.7;42.1;55.1;67.7;72.6;68.6;62.5;47.3;32.3;26;42.1
1980;15.4;15;26.5;47.1;60.3;67.1;73.2;69.7;60.1;43.5;35.4;19.2;44.4
1981;18.8;22.4;35.6;48.1;55;65.9;69.9;67.6;57.3;44.7;35.9;16.3;44.8
1982;2.9;16.1;28.6;40.9;60.3;61.5;72.9;68.7;60.6;49.8;32.6;26.1;43.4
1983;17.8;23.9;32.1;39.3;51.8;65.9;73.9;73.6;60.5;47;33.5;2.9;43.5
1984;12.4;25.4;23.4;44.8;52.5;65.9;67.7;70.6;56.1;49.5;33;19.1;43.4
1985;10.2;14.8;35.8;50.4;60.3;62.6;70.5;65.3;58.7;46;22.9;6.3;42
1986;15.9;15.3;32.7;48.4;57.5;65.9;71.4;64;59.5;47.5;26.3;22.5;43.9
1987;19.2;29.3;36.1;50.8;61;70;73.6;66.7;60;42.3;36.8;23.2;47.4
1988;8.3;12.3;31.8;44;61.7;70.4;73.6;72.6;60.9;42;32.5;19.2;44.1
1989;21.7;9.3;26.3;44.1;55.7;64.4;72.3;68.5;58.2;48.6;27;10;42.2
1990;25.8;22.1;35.3;45.5;53.8;67.6;69.4;69.4;62.4;46.5;37.6;15.4;45.9
1991;10;23.5;34;48.2;60.9;72.2;70.1;69;57.4;45.5;23.9;21.5;44.7
1992;21.4;26.7;31.3;42.1;58.2;64.5;64.2;63.1;57.7;45.9;30.8;19.8;43.8
1993;12.6;14.5;25.7;41.7;55.6;63.6;68.9;68.3;53.6;45.4;30.3;21.5;41.8
1994;3.4;11;33.1;44.5;58.3;68.6;67.3;64.9;63.2;50.4;36.4;24;43.8
1995;16.3;18.9;33.3;40.3;55;69.1;70.9;73.3;57.8;46.7;25.7;18.1;43.8
1996;9.6;17;25.1;40.8;53.3;66.3;66.8;66.5;58.7;47.7;24.6;13.8;40.9
1997;10.5;18.8;28.3;41.7;51.3;67.7;68.9;65.5;60.4;49.7;27.5;25;42.9
1998;19.7;29.4;30;49.1;63.2;63.9;69.6;69;64.4;49.5;36.3;25;47.4
1999;11.1;26.6;32.8;46.7;58.1;65.7;73.2;66.7;58.1;46.9;40.1;23.5;45.8
2000;14.4;26.3;39.2;45.6;58.8;64.5;69.4;69;59.8;51.7;30;6.1;44.6
2001;17.4;11.2;24;47.7;57.6;66.4;72.4;68.9;58;46.6;45.4;26.4;45.2
2002;24.3;25.9;25.5;44.6;53.9;68.8;73;67.2;62.5;41.8;31.3;24.3;45.3
2003;13.5;14.9;30.8;45.5;55.3;65.4;69.5;70.8;59.6;48.6;32;24.3;44.2
2004;12.4;20;35.9;48.5;56.7;64.2;68.2;63.5;64.4;48.6;36.3;21.6;45
2005;14.3;24.6;29.6;50;55;71.9;72.4;67.7;64.7;51.6;35.8;17.2;46.2
2006;28.1;19.6;32.8;51.3;59.3;68.2;74.3;69.6;57.8;44.7;36.6;29;47.6
2007;18.3;10.5;35.7;44.7;62.5;69.3;71.8;69.8;63.9;54.4;33.7;17;46
2008;12.8;13.3;28.5;44.1;56.2;68.1;71.2;68.5;62.6;49.6;34.6;12.5;43.5
2009;8.5;20.7;32.7;46.1;58;65.9;65.3;65.7;62.6;42.5;42.8;16.7;44
2010;11;15.7;38.3;53;59.1;67.1;72.7;72.7;59.6;52.6;35.1;14.7;46
2011;11.4;18;29.9;45.4;57.8;68;75.1;69.2;59.3;53;38.5;26.1;46
2012;22.8;27.7;49.1;49.1;63.3;71;77.1;69.2;61.8;48.8;38.4;24;50.2
2013;17.5;19.4;23.8;40.2;55.7;67;71.4;69.9;64;47.7;31.1;13.1;43.4
2014;6.5;6.7;24.2;42.2;57.9;68.8;67.6;70.5;59.8;47.4;24.7;23.6;41.7
2015;16.9;7.8;32.5;47.7;57.7;67.3;69.5;66.5;66.2;50.5;39.3;29.8;46
2016;14.8;22.6;38.5;47;58.9;68.7;71.5;70.1;64.4;52;42.8;18.4;47.5
2017;18.5;27.6;31.2;48.1;56.2;68.6;70.9;64.8;64.1;49.6;32.9;17.9;45.9
2018;14.6;15.3;30.5;34.5;64.1;70.1;70.4;69.7;63.1;44.6;25.9;23.6;43.9
2019;12.1;11.3;25.9;44.8;53.9;66.3;72.2;66.7;65.1;43.9;28.1;21.5;42.7
2020;18.9;16.6;35.7;42.8;56.2;69.9;72.4;69.6;59.2;42.1;37.9;24.7;45.5
2021;20.7;8.3;38;46.4;57.6;73;71.4;69.1;63.1;53.4;35.5;24.9;46.8
2022;9.4;13.9;32.3;40.3;59.3;69.5;71;68;61.6;48.5;33.3;17.2;43.7
2023;19.3;19.9;29;45.1;60.9;69.9;69.4;70.6;66.3;50.1;36.2;31.8;47.4
2024;19.3;32.6;37.3;46.8;59.5;67.9;70.6;68.5;65.4;54.5;37.2;24.1;48.6
2025;15;16;38.7;46.4;58.9;69.7;72;68.3;64.4;52.8;36.2;18;46.4
