Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;5.4;1.34;2.14;4.79;4.08;6.78;1.1;1.38;2.21;3.39;1.19;3.05;36.85
1938;1.29;3.34;6.59;3.06;4.27;6.46;2.86;1.04;1;1.12;3.9;2.56;37.49
1939;3.93;2.82;1.63;5.71;1.97;4.75;1.7;7.62;1.11;1.65;2.42;1.25;36.56
1940;0.9;1.46;0.9;3.49;2.27;2.17;1.3;2.83;T;2.41;2.94;2.69;23.36
1941;2.27;0.48;0.72;5.45;2.32;2.54;0.52;2.17;4.45;6.67;2.78;1;31.37
1942;0.9;2.53;1.75;2.05;3.97;8.32;5.41;3.75;1.46;3.19;5.07;3.24;41.64
1943;0.6;0.76;3.2;2.54;11.2;5.91;2.91;1.35;3.46;2.71;1.12;1.77;37.53
1944;0.2;2.65;2.71;9.54;4.46;2.19;2.97;3.25;2.96;1.07;1.15;1.75;34.9
1945;1.1;2.49;7.63;6.18;2.71;7.87;1.38;3.58;10.04;1.22;1.63;1.72;47.55
1946;1.38;2.03;3.22;2.4;5.14;2.31;1.56;14.78;2.22;4.14;8.71;2.35;50.24
1947;2.08;0.27;2.58;5.2;3.23;7.44;M;0.55;3.03;4.05;1.8;2.44;M
1948;0.85;1.73;6.4;1.32;2.44;5.12;12.69;2.08;1.71;3.88;2.55;1.49;42.26
1949;5.74;2.65;2.49;1.6;5.4;4.91;5.96;2.49;3.32;6.66;0.11;4.52;45.85
1950;8;2.74;3.6;4.48;3.13;3.26;1.26;3.72;2.62;1.48;2.76;0.58;37.63
1951;1.64;4.98;2.75;2.46;2.57;6.16;2.95;2.78;3.15;2.48;2.6;1.82;36.34
1952;1.41;2.5;3.52;3.85;1.18;0.99;4.61;3.13;0.56;0.24;2.3;1.38;25.67
1953;1.53;1.38;4.06;3.43;1.77;2.04;1.31;0.86;0.4;2.5;0.83;0.48;20.59
1954;1.23;0.67;1.14;2.41;2.5;2.71;2.08;4.56;3.29;3.93;1.19;1.9;27.61
1955;2.14;3.45;2.15;3.57;2.45;4.78;2.97;2.33;3.19;2.73;1.54;0.03;31.33
1956;0.73;3.69;0.84;2.85;4.84;3.07;7.03;1.53;1.21;0.65;4.19;3.8;34.43
1957;0.97;3.74;2.87;8.18;6.7;10.48;4.65;0.61;0.88;2.34;2.96;2.78;47.16
1958;2.13;0.47;3.87;2.81;2.73;5.31;7.81;3.32;2.16;2.77;3.68;0.32;37.38
1959;1.42;3.39;2.4;1.37;3.56;0.47;2.08;2.13;2.85;3.81;2.9;1.93;28.31
1960;1.11;1.19;2.77;3.11;4.72;7.97;2.27;0.98;0.76;3.36;1.41;2.13;31.78
1961;0.39;2.06;4.75;3.47;7.25;3.67;6.2;1.88;4.01;2.67;2.9;1.95;41.2
1962;3.56;2.53;3;2.54;2.44;4.75;5.49;2.29;2.63;2.7;0.71;1.99;34.63
1963;0.74;0.25;5.54;1.98;4.77;3.87;1.37;2.55;1.13;2.85;2.9;0.67;28.62
1964;1.7;2.3;3.84;4.99;2.68;2.73;4.25;2.39;1.47;0.73;3.84;1.24;32.16
1965;2.51;1.16;2.34;3.67;1.38;3.03;3.17;3.59;3;0.46;0.78;3.17;28.26
1966;0.65;4.12;1.09;6.03;4.59;1.59;1.26;3.72;2.15;2.18;2.47;2.49;32.34
1967;2.89;1.72;2.77;3.4;4.73;4.46;3.84;1.36;4.33;3.45;2.15;6.2;41.3
1968;1.86;1.09;2.06;1.48;6.78;0.9;3.92;1.6;3.74;0.69;5.74;2.63;32.49
1969;3.61;2.04;2.47;4.01;2.11;8.65;7.08;0.52;5.03;5.77;0.44;1.99;43.72
1970;0.22;0.64;2.17;9.09;2.04;5.08;0.6;6.44;5.54;2.21;0.77;1.4;36.2
1971;0.66;3.08;1.81;1.65;5.66;2.43;4.7;0.08;3.98;1.51;1.67;6.5;33.73
1972;0.77;0.74;2.93;4.49;1.02;1.19;3.1;2.69;6.21;1.47;5.59;3.54;33.74
1973;1.4;1.04;5.81;4.25;3.92;4.23;2.85;2.46;3.52;2.33;3.65;4.36;39.82
1974;3.51;4.17;2.58;2.4;5.9;3.45;0.9;5.05;2.5;1.51;3.15;1.71;36.83
1975;5.38;3.59;4.08;4.56;3.23;3.78;2.56;5.44;2.48;0.21;2.62;2.28;40.21
1976;0.83;1.08;4.28;1.37;3.9;2.32;2.28;1.27;0.9;3.37;0.73;1.13;23.46
1977;2.38;2.47;6.28;0.99;2.13;5.47;4.28;5.34;3.64;3.76;4.33;2.34;43.41
1978;1.7;1.6;6.67;3.21;3.69;2.39;6.03;0.76;3.1;2.28;4.47;1.81;37.71
1979;1.95;1.48;3.63;7.47;1.62;1.67;3.67;2.26;T;1.81;2.07;1.85;29.48
1980;0.63;1.54;3.98;1.54;3.4;2.19;3.56;2.72;3.12;2.89;1.25;0.66;27.48
1981;0.64;2.18;2.97;3.4;6.79;5.82;10.71;3.31;1.17;3.81;2.71;2.01;45.52
1982;4.9;1.37;2.88;2.55;4.85;5.96;7.91;5.27;5.27;2.3;3.89;7.82;54.97
1983;0.72;0.95;3.54;7.3;6.32;4.32;1.23;2.24;1.24;5.4;7.79;3.75;44.8
1984;0.84;3.43;5.37;6.29;5.19;2.74;0.76;0.64;8.88;7.12;5.5;4.89;51.65
1985;0.53;3.77;5.18;3.6;3.3;9.43;5.23;3.66;0.43;1.96;9.95;3.69;50.73
1986;0.1;4.68;1.22;1.23;2.42;4.43;2.61;2.22;7.99;5.34;1.58;1.06;34.88
1987;1.98;1.4;2.16;1.74;2;3.59;5.04;5.56;1.62;1.74;4.09;7.46;38.38
1988;3.3;2.27;4.73;1.15;1.44;1.97;3.02;2.31;1.99;1.86;6.65;3.24;33.93
1989;2.58;1.43;4.53;2.1;4.11;2.34;4.59;3;1.69;0.95;0.59;0.69;28.6
1990;1.42;3.53;2.66;3.07;9.59;3.02;3.34;2.84;0.78;4.96;3.36;6.52;45.09
1991;1.52;0.98;3.2;3.27;3.87;0.44;5.18;0.98;2.98;5.7;3.26;2.1;33.48
