Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;30.1;33.1;40.6;55.5;66.4;74.9;78.6;81.3;69.1;56.2;41.9;31.4;54.9
1938;33.2;42.6;54;56.8;65.2;73.3;80.7;81.2;72.2;63.2;46.8;34.8;58.7
1939;38.5;33.2;47.2;52.3;68.6;75.7;80.1;75.2;75.4;60.8;43.4;36.2;57.2
1940;14.6;32.7;42.4;53.3;62.4;75.4;78.2;77.1;68.7;62.9;42.2;38.5;54
1941;33.9;31.6;39.4;58.8;69;75.7;79.8;79.7;71.6;61.6;45.4;39.7;57.2
1942;31.4;33;45.8;59.3;64.6;73.9;79.4;75.2;68.3;58.2;47.5;31.2;55.7
1943;30.5;38.8;39.4;54.2;64.1;76.8;80.6;79.9;65.6;56.5;41.6;30.6;54.9
1944;36;37;40.4;52.6;70.1;78.4;78.3;77;69.5;59.4;46.2;28;56.1
1945;27.7;35;53.4;56.1;60.2;69.9;76.2;76.9;69;57.2;45.5;27.6;54.6
1946;33.7;40;56.3;60;62;75.8;79.2;72.7;68.7;61.7;47.5;39.8;58.1
1947;36.6;28.2;36.4;54.3;63.1;73.1;75.9;84.9;71.2;65.5;40.4;38;55.6
1948;25.5;33.1;43.1;59.8;64;74.7;78.4;78;71.2;55.8;47;37.6;55.7
1949;32.4;36.1;43.6;53.6;68.8;76.9;80.4;76.7;63.9;59.9;48.7;39.7;56.7
1950;37.6;36.6;40.7;50.7;67;74;75.2;72.3;67.3;64.2;38.4;28.8;54.4
1951;32.6;35.4;40.1;52.1;67.5;72.2;78.2;76.6;66.3;59.2;38.8;33.6;54.4
1952;35.9;39.8;42.4;54.8;65.8;83.1;81.3;76.7;70;53.7;46;37;57.2
1953;35.2;39.9;46.8;52.1;67.2;81.5;81.4;78.3;72.4;62;47.5;37.6;58.5
1954;32.7;43.8;42.1;62.1;61.6;79.4;84.9;80;74.6;58.8;45.9;36.7;58.6
1955;33;35.9;44.9;62.9;68.3;71.4;83.4;80.1;73.6;58.2;41.7;33.1;57.2
1956;29.1;36.9;45;53.3;67.8;76.2;77.8;79.2;70.8;64.5;44.9;38.5;57
1957;26.9;40.3;43.4;56.3;66.2;75.6;80.1;79.2;68.4;54.9;43.4;40.7;56.3
1958;31.2;25.4;38;55.7;66.1;71.5;76.5;77.4;69.1;59.1;48.9;30.3;54.1
1959;26.3;35.7;45.6;56.8;69.6;76.4;78;80.8;71.3;57;38.9;39.2;56.3
1960;33.5;30.8;30.3;58.9;62.7;73.9;76.2;79.1;74.1;58.9;46.4;30.9;54.6
1961;28.2;35.9;45.5;50;58.3;70.1;76.1;75.4;71;59.2;44.1;31.9;53.8
1962;24.7;36.6;39.5;53;72;74;75.8;75.6;66.4;61;44.9;31.1;54.6
1963;21.3;28.5;48.7;58.2;63.8;75.4;77.3;74.9;68.5;66.9;45.7;22.2;54.3
1964;34.7;34.2;42.3;58.7;69.6;74.8;78.4;76.5;69.3;54;47.3;31.9;56
1965;31.9;33.8;34.5;58.4;70.5;75;76.8;75.7;69.1;56.4;48.5;41.6;56
1966;24.9;32.1;46.6;51.7;61.7;73.6;82.9;74.2;65.6;54.2;47.1;34.8;54.1
1967;34.7;31.2;48.3;58.4;60.8;74;74.9;72.4;66.5;57.4;42;34.8;54.6
1968;28.6;29.2;46.1;55.5;61.9;77;77.6;77.5;68;56.9;43.5;32.2;54.5
1969;29.1;35.3;37.8;56.9;65.6;72.5;80.4;77;69.3;56;43.3;32.1;54.6
1970;24.8;32.9;40.5;58;69.2;72.3;77.9;76.3;71.8;56.1;43.6;37;55
1971;27.4;33.9;41.7;55.9;62.3;78.9;75.3;75.7;72.5;63.7;46;40.5;56.2
1972;29.9;34.2;45;56.1;66.4;73.4;77.5;76.3;71.1;54.8;39.8;30.3;54.6
1973;32.6;34.4;50.9;53.7;61.7;74.6;78.7;76.9;70;60.7;47;30;55.9
1974;29.8;36;48.1;57.5;65;69.5;79.8;74.5;62.3;57.7;44;34;54.9
1975;33.2;31.9;38.9;53.4;67.5;74.9;77.7;77.9;64.7;59;48.3;35.5;55.2
1976;28.1;43.4;48.7;56.5;60.8;72.7;79.5;74.3;68.2;50.9;37;28.5;54.1
1977;15.1;34.8;49.6;60.8;71;74.7;81.1;76.4;70.7;55.5;44.7;30.6;55.4
1978;19.5;21.1;37.9;56.2;63.5;74.4;78.5;76.4;73.1;55.6;47.5;35;53.2
1979;16.5;23.1;44;52.9;65.5;76.5;79.1;78.3;70.8;59.1;44.5;38.6;54.1
1980;31.4;27.8;40.9;54.5;66.9;75.5;84.9;83.5;72.4;55.9;46.4;36.5;56.4
1981;31.2;36.7;46.6;63.1;60.7;75.7;78.6;76.1;69.1;55.6;48.7;31;56.1
1982;22.5;28.6;45.3;51.5;70.7;70.6;79.3;75.2;68;58.3;46.3;41.6;54.8
1983;32.3;38.1;44.5;50.3;62.3;75.3;83.4;84.1;71.9;59.7;48.2;20.5;55.9
1984;28.2;40.3;37;54.1;63.2;79.5;78.3;80.6;68.2;61.8;44.3;40.7;56.4
1985;22.6;30.5;49.5;60.4;67.5;71.6;79.3;74.7;70.9;61.4;46.5;27.3;55.2
1986;34.9;34.5;49.2;60.8;68.1;78.3;82.8;74;73.3;58.3;41.4;35.4;57.6
1987;30.6;40.1;48.6;56.9;72.6;77.9;80.9;78.9;70.5;53.8;49.1;38;58.2
1988;29.2;30.5;45.2;57;68.9;77.7;81.6;82.7;72.5;53.8;47.2;37.2;57
1989;41.1;28.1;45;57.7;64.3;74.8;79.3;77.8;67.3;61.3;47.1;24.1;55.7
